S.No,Category,Feature_Name,Description
242,Temporal,is_monday,Monday flag
243,Temporal,is_friday,Friday flag
244,Temporal,is_expiry_week,Expiry week
245,Temporal,days_since_month_start,Days since month start
246,Temporal,days_to_month_end,Days to month end
247,Sentiment,news_sentiment,News sentiment
248,Sentiment,sentiment_ma_7d,Sentiment 7-day MA
249,Sentiment,sentiment_std_7d,Sentiment std
250,Sentiment,sentiment_positive_count,Positive count
251,Sentiment,sentiment_negative_count,Negative count
252,Market Regime,regime_bull,Bull regime
253,Market Regime,regime_bear,Bear regime
254,Market Regime,strong_trend,Strong trend
255,Market Regime,weak_trend,Weak trend
256,Market Regime,trending,Trending
257,Market Regime,ranging,Ranging
258,Market Regime,high_vol_regime,High vol regime
259,Market Regime,low_vol_regime,Low vol regime
260,Market Regime,vol_expanding,Vol expanding
261,Market Regime,vol_contracting,Vol contracting
262,Market Regime,high_volume_regime,High volume regime
263,Market Regime,low_volume_regime,Low volume regime
264,Market Regime,volume_increasing,Volume increasing
265,Market Regime,volume_decreasing,Volume decreasing
266,Market Regime,overbought,Overbought
267,Market Regime,oversold,Oversold
268,Momentum Flags,neutral_rsi,Neutral RSI
269,Momentum Flags,positive_momentum,Positive momentum
270,Momentum Flags,negative_momentum,Negative momentum
271,Momentum Flags,high_correlation,High correlation
272,Correlation Flags,low_correlation,Low correlation
273,Correlation Flags,decoupled,Decoupled
274,BB Signals,near_bb_upper,Near BB upper
275,BB Signals,near_bb_lower,Near BB lower
276,BB Signals,bb_middle_zone,BB middle zone
277,BB Signals,far_above_sma,Far above SMA
278,BB Signals,far_below_sma,Far below SMA
279,BB Signals,near_sma,Near SMA
280,Interaction Features,return_x_volume,Return x Volume
281,Interaction Features,abs_return_x_volume,|Return| x Volume
282,Interaction Features,momentum_x_volume,Momentum x Volume
283,Interaction Features,trend_strength_x_volume,Trend x Volume
284,Interaction Features,vol_x_volume,Vol x Volume
285,Interaction Features,atr_x_volume,ATR x Volume
286,Interaction Features,rsi_x_vol,RSI x Vol
287,Interaction Features,return_to_vol_5d,Return/Vol 5d
288,Interaction Features,macd_x_vol,MACD x Vol
289,Interaction Features,ma_trend_x_volume,MA trend x Volume
290,Interaction Features,price_sma_x_volume,Price SMA x Volume
291,Interaction Features,bb_squeeze,BB squeeze
292,Interaction Features,bb_squeeze_low,BB squeeze low
293,Interaction Features,bb_rsi_signal,BB RSI signal
294,Market Interaction,return_when_market_up,Return when mkt up
295,Market Interaction,return_when_market_down,Return when mkt down
296,Market Interaction,expected_return,Expected return
297,Market Interaction,return_surprise,Return surprise
298,Confluence Signals,rsi_macd_confluence,RSI MACD confluence
299,Confluence Signals,rsi_macd_divergence,RSI MACD divergence
300,Confluence Signals,stoch_rsi_avg,Stoch RSI average
301,Confluence Signals,stoch_rsi_spread,Stoch RSI spread
302,Confluence Signals,trend_consensus,Trend consensus
303,Confluence Signals,momentum_ewm,Momentum EWM
304,Momentum Acceleration,momentum_accel,Momentum acceleration
305,Momentum Acceleration,momentum_decel,Momentum deceleration
306,Statistical,autocorr_1,Autocorr lag 1
307,Statistical,autocorr_5,Autocorr lag 5
308,Statistical,hurst_60,Hurst exponent 60d
309,Statistical,skew_20,Skewness 20d
310,Statistical,kurt_20,Kurtosis 20d
311,Pressure Features,buy_pressure,Buy pressure
312,Pressure Features,sell_pressure,Sell pressure
313,Pressure Features,net_pressure,Net pressure
314,Pressure Features,pressure_ma,Pressure MA
315,Pressure Features,volume_imbalance,Volume imbalance
316,Pressure Features,volume_imbalance_ma,Volume imbalance MA
317,Range Features,tr_percentile,True range percentile
318,Range Features,range_expansion,Range expansion
319,Range Features,consecutive_up,Consecutive up
320,Range Features,consecutive_down,Consecutive down
321,Range Features,max_consecutive_up,Max consecutive up
322,Range Features,max_consecutive_down,Max consecutive down
323,Range Features,vol_squared,Volatility squared
324,Vol Persistence,vol_squared_ma,Vol squared MA
325,Vol Persistence,vol_persistence,Vol persistence
326,Turnover,efficiency_ratio,Efficiency ratio
327,Turnover,turnover,Turnover
328,Turnover,turnover_ma_20,Turnover MA
329,Turnover,turnover_ratio,Turnover ratio
330,Turnover,relative_turnover,Relative turnover
331,Liquidity,volume_concentration,Volume concentration
332,Liquidity,kyle_lambda,Kyle lambda
333,Liquidity,price_resilience,Price resilience
334,Liquidity,low_liquidity,Low liquidity
335,Liquidity,high_liquidity,High liquidity
336,Gap Analysis,gap_size,Gap size
337,Gap Analysis,gap_up_large,Large gap up
338,Gap Analysis,gap_down_large,Large gap down
339,Gap Analysis,gap_filled,Gap filled
340,Gap Analysis,gap_fill_ratio,Gap fill ratio
341,Gap Analysis,overnight_return,Overnight return
342,Overnight/Intraday,overnight_vol,Overnight volatility
343,Overnight/Intraday,intraday_vol,Intraday volatility
344,Overnight/Intraday,overnight_intraday_ratio,Overnight/intraday ratio
345,Price Levels,dist_to_100,Dist to round 100
346,Price Levels,dist_to_500,Dist to round 500
347,Price Levels,near_round_100,Near round 100
348,Price Levels,pivot_high,Pivot high
349,Price Levels,pivot_low,Pivot low
350,Price Levels,at_pivot_high,At pivot high
351,Price Levels,at_pivot_low,At pivot low
352,Price Levels,price_zone,Price zone
353,Volume Analysis,time_at_level,Time at level
354,Volume Analysis,volume_zscore,Volume Z-score
355,Volume Analysis,climax_volume,Climax volume
356,Volume Analysis,volume_efficiency,Volume efficiency
357,Volume Analysis,exhaustion,Exhaustion
358,Volume Analysis,accumulation_phase,Accumulation
359,Volume Analysis,distribution_phase,Distribution
360,Smart Money,volume_price_divergence,Volume price divergence
361,Smart Money,smart_money_divergence,Smart money divergence
362,Relative Performance,outperformance,Outperformance
363,Relative Performance,outperformance_ma,Outperformance MA
364,Relative Performance,outperform_streak,Outperform streak
365,Relative Performance,relative_momentum,Relative momentum
366,Relative Performance,beta_change,Beta change
367,Beta,beta_stable,Beta stable
368,Cycles,dominant_cycle,Dominant cycle
369,Cycles,cycle_phase,Cycle phase
370,Cycles,detrended,Detrended
371,Cycles,detrended_norm,Detrended normalized
372,Swing Analysis,swing_high,Swing high
373,Swing Analysis,swing_low,Swing low
374,Swing Analysis,is_swing_high,Is swing high
375,Swing Analysis,is_swing_low,Is swing low
376,Swing Analysis,wave_count,Wave count
377,Targets,target_close_return,Target close return
378,Targets,target_close,Target close
379,Targets,target_high_return,Target high return
380,Targets,target_high,Target high
381,Targets,target_low_return,Target low return
382,Targets,target_low,Target low
383,Targets,target_direction,Target direction
384,Targets,target_range,Target range
