symbol,n,model_acc,p_alwaysup,p_mom5,p_ar1,dm_alwaysup,dm_mom5,dm_ar1
DLF,423,0.5248,0.1605,0.3218,0.6282,-0.992,-0.463,0.327
DMART,394,0.5127,0.1312,0.339,0.4398,-1.121,-0.415,-0.152
DRREDDY,317,0.5174,0.6455,0.3811,0.0374,0.373,-0.303,-1.781
EICHERMOT,334,0.5269,0.8877,0.0704,0.1116,1.214,-1.473,-1.218
ETERNAL,217,0.4286,0.8641,0.4205,0.9785,1.099,-0.201,2.023
EXIDEIND,343,0.5423,0.0033,0.1277,0.0631,-2.712,-1.137,-1.529
FEDERALBNK,345,0.5913,0.446,0.012,0.0058,-0.136,-2.256,-2.523
GAIL,407,0.5332,0.5289,0.0155,0.2922,0.072,-2.157,-0.547
GODREJCP,331,0.5045,0.1314,0.6548,0.474,-1.12,0.398,-0.065
GODREJPROP,417,0.4604,0.8675,0.9254,0.9299,1.115,1.443,1.475
GRASIM,330,0.5394,0.2506,0.0851,0.0637,-0.672,-1.372,-1.525
HAL,355,0.4366,0.8659,0.5818,0.8604,1.107,0.206,1.082
HAVELLS,381,0.4882,0.5538,0.196,0.5966,0.135,-0.856,0.244
HCLTECH,321,0.5452,0.9551,0.4173,0.1801,1.696,-0.209,-0.915
HDFCBANK,294,0.551,0.449,0.1936,0.0136,-0.128,-0.865,-2.208
HDFCLIFE,318,0.4874,0.4382,0.7004,0.8534,-0.155,0.526,1.051
HEROMOTOCO,336,0.503,0.1414,0.6217,0.4061,-1.074,0.31,-0.238
HINDALCO,351,0.5385,0.9746,0.1086,0.0655,1.954,-1.234,-1.51
HINDUNILVR,291,0.5052,0.2375,0.3943,0.1378,-0.714,-0.268,-1.09
ICICIBANK,309,0.5243,0.4711,0.4769,0.146,-0.073,-0.058,-1.054
ICICIGI,313,0.4728,0.7253,0.9083,0.6333,0.599,1.33,0.341
IDFCFIRSTB,352,0.4688,0.3759,0.5866,0.4187,-0.316,0.219,-0.205
INDUSINDBK,336,0.4792,0.5514,0.3375,0.5954,0.129,-0.419,0.242
INDUSTOWER,351,0.4416,0.9203,0.6328,0.9823,1.407,0.339,2.104
INFY,329,0.5015,0.6826,0.4411,0.599,0.475,-0.148,0.251
IRFC,229,0.5764,0.0119,0.2348,0.4691,-2.259,-0.723,-0.078
ITC,308,0.5909,0.009,0.0016,0.2182,-2.364,-2.949,-0.778
JSWSTEEL,338,0.5651,0.8117,0.0766,0.0797,0.884,-1.428,-1.407
KOTAKBANK,318,0.5157,0.5523,0.1264,0.5776,0.132,-1.143,0.196
LT,332,0.5542,0.4332,0.0257,0.3994,-0.168,-1.948,-0.255
LTIM,341,0.5396,0.5,0.6277,0.4542,0.0,0.326,-0.115
LUPIN,330,0.5212,0.8406,0.0137,0.7233,0.997,-2.205,0.593
M&M,345,0.4928,0.9101,0.436,0.4257,1.341,-0.161,-0.187
MANAPPURAM,359,0.5515,0.6204,0.033,0.1569,0.307,-1.839,-1.007
MARICO,307,0.544,0.313,0.1173,0.2602,-0.487,-1.189,-0.643
MARUTI,315,0.5079,0.6274,0.4086,0.6199,0.325,-0.231,0.305
MOTHERSON,372,0.4731,0.8592,0.9016,0.5933,1.077,1.291,0.236
MPHASIS,348,0.4914,0.6294,0.386,0.2112,0.33,-0.29,-0.802
MUTHOOTFIN,341,0.5953,0.7399,0.0001,0.0056,0.643,-3.641,-2.534
NAUKRI,402,0.4975,0.6693,0.1731,0.3222,0.438,-0.942,-0.462
NESTLEIND,290,0.5241,0.2124,0.2067,0.0187,-0.798,-0.818,-2.08
NMDC,367,0.5368,0.4694,0.0001,0.0832,-0.077,-3.737,-1.384
NTPC,324,0.5123,0.8426,0.0983,0.2737,1.005,-1.291,-0.602
OFSS,333,0.4985,0.1816,0.4601,0.4118,-0.909,-0.1,-0.223
ONGC,342,0.462,0.9621,0.3546,0.9364,1.776,-0.373,1.525
PAGEIND,387,0.5194,0.0719,0.2416,0.1757,-1.462,-0.701,-0.932
PERSISTENT,349,0.553,0.8652,0.1258,0.1984,1.104,-1.147,-0.847
PIDILITIND,354,0.4915,0.6728,0.5855,0.6928,0.448,0.216,0.504
POLYCAB,323,0.5294,0.7314,0.0467,0.3588,0.617,-1.677,-0.362
POWERGRID,316,0.4873,0.5,0.1405,0.6446,0.0,-1.078,0.371
RBLBANK,377,0.4934,0.8858,0.5598,0.6058,1.204,0.15,0.268
RELIANCE,322,0.5124,0.3923,0.332,0.6067,-0.273,-0.434,0.271
SAIL,366,0.5874,0.049,0.0072,0.015,-1.655,-2.446,-2.171
SBILIFE,322,0.5124,0.6433,0.5187,0.2119,0.367,0.047,-0.8
SBIN,335,0.5254,0.9519,0.3577,0.551,1.664,-0.364,0.128
SHREECEM,322,0.4845,0.6044,0.2787,0.5995,0.265,-0.587,0.252
SHRIRAMFIN,359,0.5655,0.7468,0.1531,0.0158,0.664,-1.023,-2.149
SIEMENS,402,0.4701,0.9576,0.8325,0.4587,1.723,0.964,-0.104
SUNPHARMA,305,0.5508,0.3194,0.2154,0.0625,-0.469,-0.788,-1.534
TATACONSUM,309,0.4628,0.5999,0.3696,0.8447,0.253,-0.333,1.014
TATAELXSI,341,0.566,0.0057,0.255,0.1309,-2.532,-0.659,-1.122
TATAPOWER,405,0.5062,0.6411,0.0162,0.25,0.361,-2.139,-0.674
TATASTEEL,396,0.548,0.6301,0.0915,0.1502,0.332,-1.332,-1.036
TCS,315,0.4825,0.1494,0.4783,0.7826,-1.039,-0.054,0.781
TECHM,329,0.535,0.7833,0.3518,0.0346,0.783,-0.38,-1.817
TITAN,389,0.5244,0.7003,0.4599,0.3879,0.525,-0.101,-0.285
TORNTPHARM,310,0.5452,0.6119,0.0301,0.3847,0.284,-1.88,-0.293
TVSMOTOR,339,0.5369,0.9399,0.1841,0.2896,1.554,-0.9,-0.554
ULTRACEMCO,314,0.5127,0.6391,0.19,0.4747,0.356,-0.878,-0.064
VEDL,362,0.5387,0.7543,0.0067,0.1503,0.688,-2.473,-1.035
VOLTAS,391,0.4987,0.5935,0.7114,0.597,0.237,0.558,0.246
WIPRO,330,0.5333,0.5,0.1584,0.1414,0.0,-1.001,-1.074
